Date,Time,Species,Sex,Length ,Location,Tag
9/20/2017,AM,LS,M,600,RWC,
9/20/2017,AM,LS,M,690,RWC,
9/20/2017,AM,LS,F,520,RWC,
9/20/2017,AM,BSH,F,250,RWC,
9/20/2017,AM,BR,M,280,RWC,
9/20/2017,AM,BR,F,270,RWC,
9/20/2017,AM,SVN,M,910,RWC,
9/21/2017,AM,LS,M,740,RWC,
9/21/2017,AM,BR,M,,RWC,
9/21/2017,AM,BR,M,,RWC,
9/21/2017,AM,BR,F,,RWC,
10/3/2017,AM,BR,M,,RWC,
10/3/2017,AM,BR,M,,RWC,
10/3/2017,PM,BR,M,,RWC,
10/3/2017,PM,BR,F,,RWC,
10/5/2017,AM,BR,M,650,RWC,
10/5/2017,AM,BR,F,380,RWC,
10/12/2017,PM,LS,M,700,RWC,2567
10/18/2017,AM,BR,M,700,RICH,
10/23/2017,PM,BR,F,590,RICH,
11/2/2017,PM,BR,M,420,RICH,
11/2/2017,PM,BR,M,530,RICH,
11/2/2017,PM,BR,M,490,RICH,
12/6/2017,AM,LS,M,690,RWC,2569
12/13/2017,PM,LS,M,580,RWC,2570
12/15/2017,PM,LS,M,860,RWC,2571
12/15/2017,PM,LS,F,790,RWC,2574
3/1/2018,PM,LS,M,1000,RWC,2572
3/2/2018,PM,LS,F,780,RWC,
3/2/2018,PM,LS,M,430,RWC,
3/9/2018,AM,BSH,M,400,RWC,
3/14/2018,PM,BSH,M,665,RWC,
3/14/2018,,BSH,M,495,RWC,
3/14/2018,,BR,M,510,RWC,
3/14/2018,,BR,M,550,RWC,
3/14/2018,,BR,M,320,RWC,
3/14/2018,,BR,M,640,RWC,
3/14/2018,,BR,F,940,RWC,
3/14/2018,,BR,F,335,RWC,
3/14/2018,,BR,F,345,RWC,
3/14/2018,,SVN,F,300,RWC,
3/15/2018,AM,BR,M,270,RWC,
3/15/2018,AM,BR,,320,RWC,
3/15/2018,AM,BR,,300,RWC,
3/15/2018,AM,BR,M,670,RWC,
3/15/2018,AM,BR,F,580,RWC,
3/15/2018,AM,BR,M,560,RWC,
3/15/2018,AM,BR,M,630,RWC,
3/15/2018,AM,BR,F,330,RWC,
3/15/2018,AM,BR,M,410,RWC,
3/15/2018,AM,BR,M,,RWC,
3/15/2018,AM,BR,M,,RWC,
3/15/2018,PM,BR,M,,RWC,
3/15/2018,PM,BR,F,,RWC,
3/15/2018,PM,BR,M,,RWC,
3/16/2018,,BR,F,400,RWC,
3/16/2018,,BR,M,280,RWC,
3/16/2018,,BR,F,380,RWC,
3/16/2018,,BR,M,630,RWC,
3/16/2018,,BR,F,640,RWC,
3/16/2018,,BR,M,330,RWC,
3/16/2018,,BR,F,400,RWC,
3/19/2018,,BR,M,410,RWC,
3/19/2018,,BR,F,300,RWC,
3/19/2018,,BR,F,450,RWC,
3/19/2018,,BR,M,330,RWC,
3/21/2018,,BR,M,,RWC,
3/21/2018,,BR,F,,RWC,
3/21/2018,,BR,F,,RWC,
3/21/2018,,BR,F,,RWC,
3/21/2018,,BR,F,,RWC,
3/21/2018,,BR,M,,RWC,
3/21/2018,,BR,M,,RWC,
3/21/2018,,BR,M,,RWC,
3/21/2018,,BR,M,,RWC,
3/21/2018,,BR,M,,RWC,
3/21/2018,,LS,M,1080,RWC,
3/22/2018,AM,BR,M,,RWC,
3/22/2018,AM,BR,F,,RWC,
3/22/2018,AM,BR,F,560,RWC,
3/22/2018,AM,BR,F,460,RWC,
3/22/2018,PM,BR,F,350,RWC,
3/22/2018,PM,BR,M,340,RWC,
3/22/2018,PM,BR,M,650,RWC,
3/29/2018,PM,LS,M,920,RWC,2576
3/29/2018,PM,LS,M,1120,RWC,2777
3/30/2018,AM,BR,M,550,RWC,
3/30/2018,AM,BR,M,670,RWC,
3/30/2018,AM,BR,M,590,RWC,
3/30/2018,AM,BR,F,400,RWC,
3/30/2018,AM,LS,F,950,RWC,
5/14/2018,PM,LS,M,1030,RWC,2578
5/15/2018,PM,LS,F,470,RWC,
5/15/2018,PM,LS,F,650,RWC,
5/15/2018,PM,LS,F,720,RWC,
5/15/2018,PM,LS,M,870,RWC,
5/15/2018,PM,LS,M,740,RWC,
5/15/2018,PM,LS,M,890,RWC,
5/15/2018,PM,LS,M,780,RWC,
5/15/2018,PM,LS,M,430,RWC,
5/15/2018,PM,LS,M,450,RWC,
5/15/2018,PM,LS,M,730,RWC,
5/15/2018,PM,LS,M,910,RWC,
5/15/2018,PM,LS,M,930,RWC,
5/15/2018,PM,BSH,F,470,RWC,
5/15/2018,PM,BR,F,440,RWC,
5/15/2018,PM,BR,F,400,RWC,
5/15/2018,PM,BR,M,570,RWC,
5/15/2018,PM,BR,M,570,RWC,
5/15/2018,PM,BR,M,670,RWC,
5/16/2018,PM,BR,M,520,RWC,
5/16/2018,,BR,M,425,RWC,
5/16/2018,,BR,M,365,RWC,
5/16/2018,,BR,M,470,RWC,
5/16/2018,,BR,M,560,RWC,
5/16/2018,,BR,M,530,RWC,
5/16/2018,,BR,M,540,RWC,
5/16/2018,,BR,M,340,RWC,
5/16/2018,,BR,M,,RWC,
5/16/2018,,BR,M,,RWC,
5/16/2018,,BR,M,,RWC,
5/16/2018,,BR,M,,RWC,
5/16/2018,,BR,M,,RWC,
5/16/2018,,BR,M,,RWC,
5/16/2018,,BR,M,,RWC,
5/16/2018,,LS,M,610,RWC,
5/16/2018,,SVN,M,740,RWC,
5/21/2018,,LS,M,510,RWC,
5/21/2018,,LS,M,680,RWC,
5/21/2018,,BR,M,,RWC,
5/21/2018,,BR,M,440,RWC,
5/21/2018,,BR,F,510,RWC,
5/21/2018,,BSH,M,530,RWC,
5/25/2018,,LS,M,690,RWC,2581
5/25/2018,,LS,M,890,RWC,2582
5/22/2018,PM,LS,M,850,RWC,2947
5/22/2018,PM,LS,,640,RWC,2580
5/22/2018,PM,BR,M,580,RWC,
5/22/2018,PM,BR,M,470,RWC,
5/22/2018,PM,BR,F,810,RWC,
5/23/2018,AM,LS,M,,RWC,
5/23/2018,AM,BR,M,510,RWC,
5/23/2018,AM,BR,M,560,RWC,
5/23/2018,AM,BR,F,540,RWC,
5/25/2018,AM,7G,F,480,RWC,
5/25/2018,AM,7G,F,510,RWC,
5/25/2018,AM,BR,M,300,RWC,
5/25/2018,AM,SVN,F,410,RWC,
6/1/2018,AM,LS,M,720,RWC,
6/1/2018,AM,BR,M,290,RWC,
6/1/2018,AM,BR,M,480,RWC,
6/1/2018,AM,BR,M,320,RWC,
6/1/2018,AM,BR,M,400,RWC,
